epoch,rouge_1,rouge_2,rouge_l
9,22.56,5.93,20.9
18,24.14,7.35,21.98
32,23.26,7.33,21.11
25,24.03,7.359999999999999,21.68
39,21.39,6.329999999999999,19.43
42,21.3,6.61,19.37
26,23.41,7.32,21.29
3,17.66,2.86,16.220000000000002
30,23.95,7.430000000000001,21.55
6,20.369999999999997,4.34,18.85
17,23.849999999999998,7.53,22.009999999999998
47,21.23,6.1899999999999995,19.29
12,22.869999999999997,6.2700000000000005,21.029999999999998
8,21.55,5.46,19.79
14,23.72,7.12,21.75
7,18.98,4.89,17.39
22,24.310000000000002,7.57,22.03
46,21.69,6.59,19.78
41,21.91,6.88,19.93
40,21.279999999999998,6.63,19.27
28,23.21,7.17,21.11
19,24.25,7.28,22.07
44,20.419999999999998,6.15,18.58
21,23.87,7.08,21.78
2,16.55,2.32,15.409999999999998
10,23.39,6.239999999999999,21.490000000000002
45,20.93,6.419999999999999,19.05
11,23.189999999999998,6.419999999999999,21.27
31,23.3,7.08,21.18
13,23.72,7.12,21.9
37,22.869999999999997,6.950000000000001,20.66
27,23.68,7.57,21.52
49,20.79,6.419999999999999,18.990000000000002
43,21.68,6.279999999999999,19.869999999999997
15,24.490000000000002,7.41,22.46
16,24.69,7.720000000000001,22.63
38,21.95,6.78,19.88
34,22.73,7.000000000000001,20.74
5,18.37,3.7699999999999996,17.02
1,12.29,1.0699999999999998,11.91
35,22.08,6.619999999999999,20.01
23,23.77,7.489999999999999,21.73
29,23.59,7.21,21.45
33,22.28,6.98,20.22
36,22.34,7.06,20.11
48,20.46,6.260000000000001,18.73
24,23.28,7.049999999999999,20.990000000000002
20,23.87,7.46,21.87
4,17.21,2.92,15.83
